,canton_residence,urban,canton_work,Income,hh_income,employment_status,education_status,has_license,car_available,has_ga,age,gender
11,1.0,1.0,1.0,1792.653132684963,1,1.0,0.0,1,0.0,0.0,29.12346131083359,1.0
20,20.0,0.0,20.0,1851.5385534167347,1,2.0,0.0,0,0.0,0.0,35.45066383427729,0.0
25,1.0,1.0,,,,2.0,0.0,0,0.0,0.0,30.346032503995275,1.0
36,10.0,1.0,22.0,6048.475544564602,4,2.0,0.0,1,0.0,0.0,24.135094663306745,0.0
37,22.0,1.0,22.0,6433.12498042727,4,5.0,0.0,1,0.0,0.0,76.49029234335444,1.0
43,19.0,1.0,19.0,11388.017225659916,6,1.0,0.0,1,1.0,0.0,63.46897015974514,1.0
50,13.0,1.0,13.0,10324.009022744132,6,2.0,0.0,1,1.0,0.0,45.24849021957766,1.0
53,15.0,1.0,,,,4.0,1.0,0,0.0,1.0,13.1718775617353,0.0
60,22.0,1.0,22.0,5672.167270384855,3,1.0,0.0,1,1.0,0.0,63.27775872994971,1.0
100,1.0,1.0,19.0,1134.3165912142754,1,2.0,0.0,1,1.0,0.0,61.996901578555935,0.0
105,25.0,1.0,22.0,4738.173460616865,3,5.0,0.0,1,0.0,0.0,65.63633662402322,1.0
116,2.0,0.0,,,,4.0,1.0,0,0.0,0.0,12.032325640789622,1.0
132,20.0,1.0,20.0,4300.861550959098,3,1.0,0.0,1,1.0,0.0,48.54352795655109,0.0
137,1.0,1.0,1.0,15567.305339242077,8,1.0,0.0,1,1.0,0.0,38.95924383644797,0.0
154,2.0,1.0,22.0,3407.365888717698,2,2.0,0.0,0,0.0,0.0,20.50531854918313,1.0
160,24.0,1.0,24.0,14002.807818580364,8,5.0,0.0,1,1.0,0.0,78.37600777148396,0.0
166,22.0,1.0,22.0,11361.64034982604,6,5.0,0.0,0,0.0,0.0,67.79178331356525,0.0
170,2.0,1.0,22.0,6728.104305820076,4,2.0,0.0,1,0.0,0.0,26.456801575882082,1.0
186,1.0,1.0,1.0,2854.2974727639175,2,5.0,0.0,1,0.0,1.0,81.6961587787871,0.0
188,1.0,1.0,1.0,10661.486935020825,6,1.0,0.0,1,1.0,0.0,23.80614698908721,1.0
198,22.0,1.0,22.0,4865.952785030868,3,5.0,0.0,1,1.0,0.0,66.39221445181693,0.0
199,20.0,1.0,20.0,5271.164595265608,3,5.0,0.0,1,1.0,0.0,74.94825979164511,0.0
203,20.0,1.0,22.0,6793.340469223002,4,2.0,0.0,1,0.0,0.0,52.85228341261768,0.0
205,20.0,1.0,20.0,5900.655455939471,3,1.0,0.0,1,1.0,0.0,46.66424032443365,1.0
211,22.0,1.0,22.0,2057.9607370534486,2,1.0,0.0,1,0.0,0.0,57.91087516987909,1.0
224,17.0,1.0,17.0,6394.147502244501,4,1.0,0.0,1,1.0,0.0,52.239025763402424,1.0
232,1.0,1.0,1.0,48746.31454761062,9,1.0,0.0,1,1.0,0.0,33.34578045831472,1.0
237,11.0,1.0,,,,2.0,1.0,0,0.0,0.0,17.377546822443946,0.0
238,17.0,0.0,17.0,2908.5730538212015,2,2.0,0.0,1,0.0,0.0,45.681085560768,0.0
248,26.0,1.0,13.0,5467.3862015866425,3,2.0,0.0,1,0.0,0.0,48.86360367385646,1.0
254,22.0,1.0,22.0,30870.21874869165,9,1.0,0.0,1,1.0,0.0,30.552060532463656,1.0
261,1.0,1.0,1.0,4151.323294420685,3,1.0,0.0,1,1.0,0.0,53.19277231116689,0.0
264,21.0,1.0,21.0,1637.8084562933627,1,2.0,0.0,1,0.0,1.0,56.669281247987556,1.0
271,22.0,1.0,22.0,35589.13567401262,9,5.0,0.0,1,0.0,0.0,80.1511594147812,1.0
288,23.0,1.0,23.0,2193.3583727379064,2,1.0,0.0,1,0.0,0.0,23.416902280650447,0.0
299,11.0,1.0,11.0,1477.9927275934735,1,5.0,0.0,1,0.0,0.0,83.79751780193192,1.0
301,22.0,1.0,2.0,4768.981992480485,3,2.0,0.0,1,0.0,0.0,49.31881045629598,0.0
310,11.0,1.0,11.0,4891.754945231637,3,1.0,0.0,1,1.0,0.0,19.711198753521103,1.0
311,1.0,1.0,14.0,6900.987706600593,4,2.0,0.0,1,0.0,0.0,62.78421593202165,0.0
313,2.0,1.0,2.0,6051.862710429201,4,1.0,0.0,0,0.0,0.0,18.53537509725129,1.0
316,3.0,1.0,3.0,584.8963098727085,1,2.0,0.0,0,0.0,0.0,29.81311498180912,1.0
330,2.0,0.0,2.0,1010.8258709888943,1,2.0,0.0,0,0.0,0.0,28.823296411289675,1.0
334,19.0,1.0,,,,2.0,1.0,1,1.0,0.0,24.30011422859411,0.0
337,22.0,1.0,,,,4.0,1.0,0,0.0,0.0,13.074559052787208,0.0
346,10.0,1.0,2.0,5539.568963836129,3,2.0,0.0,1,0.0,0.0,52.617643962191096,1.0
352,22.0,1.0,,,,2.0,1.0,0,0.0,0.0,17.733650766612072,0.0
354,19.0,0.0,,,,4.0,1.0,0,0.0,0.0,8.676268836751206,1.0
361,5.0,1.0,5.0,4196.126808247046,3,5.0,0.0,1,1.0,0.0,75.68932945840606,1.0
367,1.0,1.0,11.0,3076.006159240611,2,1.0,0.0,1,0.0,0.0,59.859231781927974,1.0
372,3.0,1.0,3.0,3273.425864660196,2,1.0,0.0,1,1.0,0.0,66.95355992696796,0.0
380,8.0,0.0,8.0,4645.299830819187,3,1.0,0.0,1,1.0,0.0,32.440455626629046,0.0
382,1.0,1.0,1.0,4005.1767750966046,3,1.0,0.0,1,0.0,0.0,32.18939640710914,0.0
387,1.0,1.0,,,,4.0,1.0,0,0.0,0.0,10.683550921524102,1.0
403,21.0,1.0,,,,4.0,1.0,0,0.0,0.0,9.56125023478171,1.0
413,14.0,1.0,14.0,15237.420065128625,8,1.0,1.0,0,0.0,0.0,16.138743795841265,0.0
414,10.0,0.0,,,,4.0,1.0,0,0.0,0.0,10.398998805403608,0.0
416,1.0,1.0,1.0,1614.0984997145035,1,5.0,0.0,1,0.0,0.0,64.5653892235016,1.0
431,20.0,0.0,17.0,1397.6102025360126,1,5.0,0.0,1,0.0,0.0,66.57439005531069,0.0
451,1.0,0.0,,,,4.0,1.0,0,0.0,0.0,7.599040952460882,1.0
452,5.0,1.0,1.0,4327.389809483545,3,2.0,0.0,0,0.0,0.0,21.13585700201952,0.0
461,5.0,1.0,1.0,68745.42376722231,9,2.0,0.0,1,0.0,0.0,19.177914400522695,0.0
482,13.0,1.0,13.0,3830.425040097373,2,2.0,0.0,1,0.0,0.0,62.713206088165634,0.0
483,2.0,1.0,,,,4.0,1.0,0,0.0,0.0,7.843608608030991,1.0
493,15.0,1.0,15.0,2251.4461056823543,2,1.0,0.0,1,1.0,0.0,34.13172788401198,0.0
497,17.0,0.0,17.0,5626.096847852312,3,5.0,0.0,1,0.0,0.0,76.78416028465767,1.0
505,17.0,1.0,17.0,6299.798694863281,4,5.0,0.0,0,0.0,1.0,87.28215459999069,1.0
508,20.0,0.0,20.0,1603.6268472511013,1,1.0,0.0,1,1.0,1.0,58.73170943962509,1.0
555,22.0,1.0,21.0,3992.261214936509,2,2.0,0.0,1,0.0,0.0,41.44867588412967,0.0
558,19.0,0.0,3.0,6330.807361700386,4,1.0,0.0,1,0.0,0.0,46.16825272286269,0.0
577,1.0,1.0,2.0,4867.945190344499,3,1.0,0.0,1,0.0,1.0,67.82047982064523,1.0
592,20.0,1.0,,,,2.0,0.0,1,1.0,0.0,18.416360246367958,0.0
597,5.0,1.0,5.0,13131.675876790483,7,1.0,0.0,1,0.0,0.0,34.84935865751686,0.0
601,13.0,1.0,13.0,3177.0891050186865,2,5.0,0.0,1,1.0,0.0,71.7176911029951,0.0
614,22.0,1.0,22.0,3269.173905444255,2,5.0,0.0,1,0.0,0.0,74.00294813863411,0.0
615,1.0,1.0,1.0,1181.554823909181,1,1.0,0.0,0,0.0,0.0,32.29044319393074,1.0
621,9.0,1.0,9.0,16892.17677014222,9,1.0,0.0,1,1.0,0.0,56.63696986967602,1.0
632,1.0,1.0,1.0,7454.411036296292,4,1.0,1.0,0,0.0,0.0,18.827365649333615,0.0
633,1.0,1.0,1.0,12206.333706689124,7,1.0,1.0,1,0.0,0.0,20.367585052624918,0.0
634,2.0,1.0,23.0,5358.684880980374,3,5.0,0.0,0,0.0,0.0,78.72591453142718,0.0
638,5.0,0.0,,,,2.0,1.0,0,0.0,1.0,15.796247013795892,1.0
644,22.0,1.0,22.0,571.9730663005331,1,1.0,0.0,0,0.0,0.0,31.4100523205459,0.0
646,3.0,0.0,3.0,27098.27282476693,9,1.0,0.0,0,0.0,0.0,58.20665920245369,0.0
655,13.0,1.0,13.0,2113.705144423866,2,5.0,0.0,1,1.0,0.0,82.27841957746637,1.0
659,25.0,1.0,25.0,5075.600545934454,3,5.0,0.0,1,0.0,0.0,68.57856191674205,0.0
663,12.0,1.0,,,,4.0,1.0,0,0.0,0.0,14.125031551337543,1.0
671,1.0,1.0,1.0,11931.81860654105,6,5.0,0.0,1,1.0,0.0,70.3372657608952,0.0
680,22.0,1.0,22.0,1188.925747726655,1,1.0,0.0,1,1.0,1.0,40.689820195300854,0.0
684,1.0,1.0,1.0,5604.142954324966,3,1.0,0.0,1,0.0,0.0,65.8408644663441,0.0
689,19.0,1.0,11.0,6722.1713647598235,4,2.0,0.0,1,0.0,0.0,40.590555511273124,1.0
710,21.0,1.0,21.0,5982.443941260123,3,5.0,0.0,1,0.0,1.0,73.05073895382316,0.0
734,13.0,1.0,13.0,7148.332063083505,4,2.0,0.0,0,0.0,0.0,40.706052282075916,1.0
741,21.0,1.0,21.0,713.1342345954592,1,2.0,0.0,1,0.0,0.0,52.19193524606794,1.0
